Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Octavio Espinosa,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1923.0,101.0,Octavio Espinosa-Ica-Ica
Olímpico de Acomayo,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1960.0,64.0,Olímpico de Acomayo-Ica-Ica
Olímpico Peruano,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1945.0,79.0,Olímpico Peruano-Santiago-Ica
Parada de los Amigos,Grocio Prado,Estadio Municipal de Grocio Prado,Copa Perú,Ica,1944.0,80.0,Parada de los Amigos-Grocio Prado-Ica
Peñarol de Acomayo,Parcona,Estadio José Picasso Peratta,Copa Perú,Ica,1948.0,76.0,Peñarol de Acomayo-Parcona-Ica
Real Madrid,Pueblo Nuevo,Estadio Cruz Blanca,Copa Perú,Ica,1956.0,68.0,Real Madrid-Pueblo Nuevo-Ica
River Plate de Collazos,Salas,Estadio Juan de Dios Bolívar,Copa Perú,Ica,1957.0,67.0,River Plate de Collazos-Salas-Ica
River Plate de Pachacútec,Pachacútec,Estadio Luis M. Sánchez Cerro,Copa Perú,Ica,1977.0,47.0,River Plate de Pachacútec-Pachacútec-Ica
San Jacinto,Independencia,Estadio Municipal de Independencia,Copa Perú,Ica,1930.0,94.0,San Jacinto-Independencia-Ica
San Lorenzo de Pachacútec,Pachacútec,Estadio Luis M. Sánchez Cerro,Copa Perú,Ica,1958.0,66.0,San Lorenzo de Pachacútec-Pachacútec-Ica
San Martín,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1921.0,103.0,San Martín-Ica-Ica
Santa Rita,Grocio Prado,Estadio Municipal de Grocio Prado,Copa Perú,Ica,1963.0,61.0,Santa Rita-Grocio Prado-Ica
Santos FC,Vista Alegre,Estadio Municipal de Nasca,Segunda División,Ica,1976.0,48.0,Santos FC-Vista Alegre-Ica
Social Indoamérica,Tate,Estadio Héctor Chumpitaz,Copa Perú,Ica,1945.0,79.0,Social Indoamérica-Tate-Ica
Sport Aurora,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1946.0,78.0,Sport Aurora-La Tinguiña-Ica
Sport Bolívar,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1927.0,97.0,Sport Bolívar-Santiago-Ica
Sport Bolognesi,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1921.0,103.0,Sport Bolognesi-Pisco-Ica
Sport Bolognesi,Tate,Estadio Héctor Chumpitaz,Copa Perú,Ica,1925.0,99.0,Sport Bolognesi-Tate-Ica
Sport Botafogo de Chanchajalla,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1965.0,59.0,Sport Botafogo de Chanchajalla-La Tinguiña-Ica
Sport Boys de Santa Rosa,Chincha Baja,Estadio Santiago de Almagro,Copa Perú,Ica,1930.0,94.0,Sport Boys de Santa Rosa-Chincha Baja-Ica
Sport Buenos Aires de Yanquiza,Subtanjalla,Estadio José Carlos Mariátegui,Copa Perú,Ica,1943.0,81.0,Sport Buenos Aires de Yanquiza-Subtanjalla-Ica
Sport Grau,Tate,Estadio Héctor Chumpitaz,Copa Perú,Ica,1928.0,96.0,Sport Grau-Tate-Ica
Sport Huracán,Pueblo Nuevo,Estadio Pedro Tipacti Ríos,Copa Perú,Ica,1959.0,65.0,Sport Huracán-Pueblo Nuevo-Ica
Sport Inca Puno,Tate,Estadio Héctor Chumpitaz,Copa Perú,Ica,1918.0,106.0,Sport Inca Puno-Tate-Ica
Sport Independiente,Pueblo Nuevo,Estadio Pedro Tipacti Ríos,Copa Perú,Ica,1943.0,81.0,Sport Independiente-Pueblo Nuevo-Ica
Sport Marino,Comatrana,Estadio José Picasso Peratta,Copa Perú,Ica,1924.0,100.0,Sport Marino-Comatrana-Ica
Sport Miguel Grau,Subtanjalla,Estadio José Carlos Mariátegui,Copa Perú,Ica,1918.0,106.0,Sport Miguel Grau-Subtanjalla-Ica
Sport Nacional de La Joya,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1954.0,70.0,Sport Nacional de La Joya-Santiago-Ica
Sport Pacífico,Comatrana,Estadio José Picasso Peratta,Copa Perú,Ica,1945.0,79.0,Sport Pacífico-Comatrana-Ica
Sport Pisco,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1907.0,117.0,Sport Pisco-Pisco-Ica
Sport Porvenir,Pueblo Nuevo,Estadio Pedro Tipacti Ríos,Copa Perú,Ica,1944.0,80.0,Sport Porvenir-Pueblo Nuevo-Ica
Sport Puerto Aéreo,La Tinguiña,Estadio Fernando Cevasco Villagarcía,Copa Perú,Ica,1934.0,90.0,Sport Puerto Aéreo-La Tinguiña-Ica
Sport Rex,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1944.0,80.0,Sport Rex-Santiago-Ica
Sport San Martín de Casablanca,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1940.0,84.0,Sport San Martín de Casablanca-Santiago-Ica
Sport Santa Margarita,Santiago,Estadio José Picasso Peratta de Santiago,Copa Perú,Ica,1954.0,70.0,Sport Santa Margarita-Santiago-Ica
Sport Unión Sucre de Pariña Chico,Los Aquijes,Estadio El Arenal,Copa Perú,Ica,1931.0,93.0,Sport Unión Sucre de Pariña Chico-Los Aquijes-Ica
Sport Victoria,Ica,Estadio José Picasso Peratta,Copa Perú,Ica,1916.0,108.0,Sport Victoria-Ica-Ica
Sport Victoria de Subtanjalla,Subtanjalla,Estadio José Carlos Mariátegui,Copa Perú,Ica,1916.0,108.0,Sport Victoria de Subtanjalla-Subtanjalla-Ica
Sporting Cristal,Ocucaje,Estadio Robaldo Gabriel Hernández,Copa Perú,Ica,1960.0,64.0,Sporting Cristal-Ocucaje-Ica
Sporting Cristal,Palpa,Estadio Julio Luque Tijeros,Copa Perú,Ica,1957.0,67.0,Sporting Cristal-Palpa-Ica
Unión Estudiantes,Salas,Estadio Juan de Dios Bolívar,Copa Perú,Ica,1972.0,52.0,Unión Estudiantes-Salas-Ica
Unión López,Nazca,Estadio Municipal de Nasca,Copa Perú,Ica,1965.0,59.0,Unión López-Nazca-Ica
Unión Pacífico,Tate,Estadio Héctor Chumpitaz,Copa Perú,Ica,1949.0,75.0,Unión Pacífico-Tate-Ica
Unión San Martín,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1949.0,75.0,Unión San Martín-Pisco-Ica
Unión San Martín,Sunampe,Estadio Santos Nagaro Bianchi,Copa Perú,Ica,1916.0,108.0,Unión San Martín-Sunampe-Ica
Universitario de Ocucaje,Ocucaje,Estadio Robaldo Gabriel Hernández,Copa Perú,Ica,1955.0,69.0,Universitario de Ocucaje-Ocucaje-Ica
Universitario de Pueblo Nuevo,Pueblo Nuevo,Estadio Pedro Tipacti Ríos,Copa Perú,Ica,1955.0,69.0,Universitario de Pueblo Nuevo-Pueblo Nuevo-Ica
Victor Bielich,Pisco,Estadio Teobaldo Pinillos Olaechea,Copa Perú,Ica,1941.0,83.0,Victor Bielich-Pisco-Ica
Zona Libre,Marcona,Estadio Félix Franco Arias,Copa Perú,Ica,1965.0,59.0,Zona Libre-Marcona-Ica
Academia Municipal Jauja,Jauja,Estadio Monumental,Copa Perú,Junín,2015.0,9.0,Academia Municipal Jauja-Jauja-Junín
Alianza Casacancha,San Lorenzo,Estadio Municipal San Lorenzo,Copa Perú,Junín,1975.0,49.0,Alianza Casacancha-San Lorenzo-Junín
Alianza Huinco,Tarma,Estadio Unión Tarma,Copa Perú,Junín,1935.0,89.0,Alianza Huinco-Tarma-Junín
Alipio Ponce,Mazamari,Estadio Municipal,Copa Perú,Junín,1979.0,45.0,Alipio Ponce-Mazamari-Junín
Asociación Deportiva Cóndor,San Pedro de Cajas,Estadio Municipal,Copa Perú,Junín,1944.0,80.0,Asociación Deportiva Cóndor-San Pedro de Cajas-Junín
Asociación Deportiva Sanganí,Pichanaqui,Estadio Monumental Pichanaki,Copa Perú,Junín,2010.0,14.0,Asociación Deportiva Sanganí-Pichanaqui-Junín
ADT,Tarma,Estadio Unión Tarma,Primera División,Junín,1929.0,95.0,ADT-Tarma-Junín
Atlético Porvenir,San Agustín de Cajas,Estadio Municipal,Copa Perú,Junín,1981.0,43.0,Atlético Porvenir-San Agustín de Cajas-Junín
CESA,San Agustín de Cajas,Estadio Municipal,Copa Perú,Junín,1975.0,49.0,CESA-San Agustín de Cajas-Junín
Chanchamayo FC,La Merced,Estadio Municipal de La Merced,Copa Perú,Junín,1979.0,45.0,Chanchamayo FC-La Merced-Junín
Club Social Parco,Jauja,Estadio Municipal Jauja,Copa Perú,Junín,1929.0,95.0,Club Social Parco-Jauja-Junín
Defensor San Lorenzo,San Lorenzo,Estadio Municipal San Lorenzo,Copa Perú,Junín,1972.0,52.0,Defensor San Lorenzo-San Lorenzo-Junín
Deportivo Junín,Huancayo,Estadio Huancayo,Copa Perú,Junín,1963.0,61.0,Deportivo Junín-Huancayo-Junín
Deportivo Ingeniería,Huancayo,Estadio Huancayo,Copa Perú,Junín,2003.0,21.0,Deportivo Ingeniería-Huancayo-Junín
Deportivo Mariscal Cáceres,El Tambo,Estadio Mariscal Castilla,Copa Perú,Junín,1971.0,53.0,Deportivo Mariscal Cáceres-El Tambo-Junín
Deportivo Santa Isabel,Huancayo,Estadio Huancayo,Copa Perú,Junín,1916.0,108.0,Deportivo Santa Isabel-Huancayo-Junín
Huancayo SC,Huancayo,Estadio Huancayo,Copa Perú,Junín,1911.0,113.0,Huancayo SC-Huancayo-Junín
Independiente Estudiantil,Jauja,Estadio Monumental,Copa Perú,Junín,1966.0,58.0,Independiente Estudiantil-Jauja-Junín
José Olaya,Chilca,Estadio Coto Coto,Copa Perú,Junín,1989.0,35.0,José Olaya-Chilca-Junín
Juventud Ramón Castilla,La Oroya,Estadio Shincamachay,Copa Perú,Junín,1958.0,66.0,Juventud Ramón Castilla-La Oroya-Junín
Miguel Grau Umuto,Huancayo,Estadio Mariscal Castilla,Copa Perú,Junín,1932.0,92.0,Miguel Grau Umuto-Huancayo-Junín
Mina San Vicente,San Ramón,Estadio Municipal,Copa Perú,Junín,1970.0,54.0,Mina San Vicente-San Ramón-Junín
Municipal Asociados,Jauja,Estadio Monumental,Copa Perú,Junín,1966.0,58.0,Municipal Asociados-Jauja-Junín
Municipal de Mazamari,Mazamari,Estadio Municipal,Copa Perú,Junín,1968.0,56.0,Municipal de Mazamari-Mazamari-Junín
Progreso Muruhuay,Acobamba,Estadio Simón Peña Rivas,Copa Perú,Junín,1946.0,78.0,Progreso Muruhuay-Acobamba-Junín
Racing de Satipo,Satipo,Estadio Municipal de Satipo,Copa Perú,Junín,2020.0,4.0,Racing de Satipo-Satipo-Junín
Social Deportivo Huancaní,Huancaní,Estadio Julián Huanay,Copa Perú,Junín,1953.0,71.0,Social Deportivo Huancaní-Huancaní-Junín
Social San Pedro,San Pedro de Saño,Estadio Jesús Nazareno,Copa Perú,Junín,1946.0,78.0,Social San Pedro-San Pedro de Saño-Junín
Sport Águila,Huancán,Estadio Huancayo,Copa Perú,Junín,1948.0,76.0,Sport Águila-Huancán-Junín
Sport Dos de Mayo,Tarma,Estadio Unión Tarma,Copa Perú,Junín,1919.0,105.0,Sport Dos de Mayo-Tarma-Junín
Sport Huancayo,Huancayo,Estadio Huancayo,Primera División,Junín,2007.0,17.0,Sport Huancayo-Huancayo-Junín
Sport La Vid,Concepción,Estadio Municipal de Concepción,Copa Perú,Junín,2013.0,11.0,Sport La Vid-Concepción-Junín
Sporting Chilca,Chilca,Estadio Coto Coto,Copa Perú,Junín,2000.0,24.0,Sporting Chilca-Chilca-Junín
Trilce Internacional,Huancayo,Estadio Mariscal Castilla,Copa Perú,Junín,2013.0,11.0,Trilce Internacional-Huancayo-Junín
Unión Julca,Junín,Estadio Vencedores,Copa Perú,Junín,1949.0,75.0,Unión Julca-Junín-Junín
Unión Juventud Acobamba,Acobamba,Estadio Simón Peña Rivas,Copa Perú,Junín,1932.0,92.0,Unión Juventud Acobamba-Acobamba-Junín
Unión Juventud Cochas,Tarma,Estadio Unión Tarma,Copa Perú,Junín,1964.0,60.0,Unión Juventud Cochas-Tarma-Junín
Unión Minas Progreso,Morococha,Estadio Nueva Ciudad de Morococha,Copa Perú,Junín,1929.0,95.0,Unión Minas Progreso-Morococha-Junín
Unión Pichanaki,Pichanaki,Estadio Monumental de Pichanaki,Copa Perú,Junín,2013.0,11.0,Unión Pichanaki-Pichanaki-Junín
Unión San Cristóbal,Junín,Estadio Vencedores de Junín,Copa Perú,Junín,1955.0,69.0,Unión San Cristóbal-Junín-Junín
Alfonso Ugarte,Chiclín,Estadio Municipal de Chiclín,Copa Perú,La Libertad,1918.0,106.0,Alfonso Ugarte-Chiclín-La Libertad
Alianza Guadalupe,Guadalupe,Estadio Carlos A. Olivares,Copa Perú,La Libertad,1932.0,92.0,Alianza Guadalupe-Guadalupe-La Libertad
Alianza Huamachuco,Huamachuco,Estadio Municipal de Huamachuco,Copa Perú,La Libertad,1936.0,88.0,Alianza Huamachuco-Huamachuco-La Libertad
Alianza Moche,Moche,Estadio Ramiro Ñique,Copa Perú,La Libertad,1937.0,87.0,Alianza Moche-Moche-La Libertad
Alianza Roma,Casa Grande,Estadio Municipal de Casa Grande,Copa Perú,La Libertad,1929.0,95.0,Alianza Roma-Casa Grande-La Libertad
Association FBC,Casa Grande,Estadio Municipal de Casa Grande,Copa Perú,La Libertad,1919.0,105.0,Association FBC-Casa Grande-La Libertad
Atlético Ascopano,Ascope,Estadio Mario Erezzoli,Copa Perú,La Libertad,1920.0,104.0,Atlético Ascopano-Ascope-La Libertad
Atlético Chalaco,Casa Grande,Estadio Municipal de Casa Grande,Copa Perú,La Libertad,1922.0,102.0,Atlético Chalaco-Casa Grande-La Libertad
Atlético Medellín,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1982.0,42.0,Atlético Medellín-Trujillo-La Libertad
Atlético Verdún,San José,Estadio San Luis,Copa Perú,La Libertad,1991.0,33.0,Atlético Verdún-San José-La Libertad
Augusto Gildemeister,Sausal,Estadio Municipal de Sausal,Copa Perú,La Libertad,1923.0,101.0,Augusto Gildemeister-Sausal-La Libertad
Carlos Mannucci,Trujillo,Estadio Mansiche,Primera División,La Libertad,1960.0,64.0,Carlos Mannucci-Trujillo-La Libertad
Carlos Tenaud,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1922.0,102.0,Carlos Tenaud-Trujillo-La Libertad
CDSC Botafogo,La Esperanza,Estadio Municipal Víctor Raúl,Copa Perú,La Libertad,1964.0,60.0,CDSC Botafogo-La Esperanza-La Libertad
Comunal San José,San José,Estadio San Luis,Copa Perú,La Libertad,1990.0,34.0,Comunal San José-San José-La Libertad
Cruzeiro,La Esperanza,Estadio Municipal Víctor Raúl,Copa Perú,La Libertad,,,Cruzeiro-La Esperanza-La Libertad
Cultural Quiruvilca,Quiruvilca,Estadio Chaychugo,Copa Perú,La Libertad,1941.0,83.0,Cultural Quiruvilca-Quiruvilca-La Libertad
Defensor Catalina,Pueblo Nuevo,Estadio Mariano Colina Quispe,Copa Perú,La Libertad,2012.0,12.0,Defensor Catalina-Pueblo Nuevo-La Libertad
Defensor Moche,Moche,Estadio Ramiro Ñique,Copa Perú,La Libertad,1930.0,94.0,Defensor Moche-Moche-La Libertad
Defensor Porvenir,El Porvenir,Estadio Víctor Raúl,Copa Perú,La Libertad,1964.0,60.0,Defensor Porvenir-El Porvenir-La Libertad
Defensor Progreso,Chicama,Estadio Municipal de Sausal,Copa Perú,La Libertad,1977.0,47.0,Defensor Progreso-Chicama-La Libertad
Defensor Puno,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1960.0,64.0,Defensor Puno-Trujillo-La Libertad
Defensor San Pedro,San Pedro de Lloc,Estadio Julio C. Brito,Copa Perú,La Libertad,1937.0,87.0,Defensor San Pedro-San Pedro de Lloc-La Libertad
Defensor Sausal,Sausal,Estadio Municipal de Sausal,Copa Perú,La Libertad,1973.0,51.0,Defensor Sausal-Sausal-La Libertad
Defensor Taller,Laredo,Estadio Unión Laredo,Copa Perú,La Libertad,1931.0,93.0,Defensor Taller-Laredo-La Libertad
Defensor Tanguche FBC,Chao,Estadio Carlos Wiesse,Copa Perú,La Libertad,1954.0,70.0,Defensor Tanguche FBC-Chao-La Libertad
Defensor Tayabamba,Tayabamba,Estadio Municipal de Tayabamba,Copa Perú,La Libertad,1953.0,71.0,Defensor Tayabamba-Tayabamba-La Libertad
Defensor Virú,Virú,Estadio San Luis,Copa Perú,La Libertad,1962.0,62.0,Defensor Virú-Virú-La Libertad
Deportivo El Inca,Chao,Estadio Carlos Wiesse,Copa Perú,La Libertad,1973.0,51.0,Deportivo El Inca-Chao-La Libertad
Deportivo El Salvador,Chepén,Estadio Mariano Colina Quispe,Copa Perú,La Libertad,1985.0,39.0,Deportivo El Salvador-Chepén-La Libertad
Deportivo La Mar,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1946.0,78.0,Deportivo La Mar-Trujillo-La Libertad
Deportivo Llacuabamba,Parcoy,Comunal de Llacuabamba,Segunda División,La Libertad,2011.0,13.0,Deportivo Llacuabamba-Parcoy-La Libertad
Deportivo Municipal,Pacanga,Estadio Lucas Deza Romero,Copa Perú,La Libertad,1959.0,65.0,Deportivo Municipal-Pacanga-La Libertad
Deportivo Municipal de Rázuri,Malabrigo,Municipal de Puerto Malabrigo,Copa Perú,La Libertad,1951.0,73.0,Deportivo Municipal de Rázuri-Malabrigo-La Libertad
Deportivo Serrato,Guadalupe,Estadio Carlos A. Olivares,Copa Perú,La Libertad,2012.0,12.0,Deportivo Serrato-Guadalupe-La Libertad
Don José de San Martín,Pacanga,Estadio Lucas Deza Romero,Copa Perú,La Libertad,1951.0,73.0,Don José de San Martín-Pacanga-La Libertad
Dorado Paiján,Paiján,Estadio Municipal de Paiján,Copa Perú,La Libertad,1963.0,61.0,Dorado Paiján-Paiján-La Libertad
Elías Aguirre,Cartavio,Estadio Unión Cartavio,Copa Perú,La Libertad,1922.0,102.0,Elías Aguirre-Cartavio-La Libertad
Estrella Roja,Florencia de Mora,Estadio Club del Pueblo,Copa Perú,La Libertad,1981.0,43.0,Estrella Roja-Florencia de Mora-La Libertad
Francisco Bolognesi,Sausal,Estadio Municipal de Sausal,Copa Perú,La Libertad,1975.0,49.0,Francisco Bolognesi-Sausal-La Libertad
Huracán Las Delicias,Moche,Estadio Ramiro Ñíque,Copa Perú,La Libertad,1991.0,33.0,Huracán Las Delicias-Moche-La Libertad
Independiente,Virú,Estadio San Luis,Copa Perú,La Libertad,1969.0,55.0,Independiente-Virú-La Libertad
José Santos Chocano,Santiago de Chuco,Estadio Chaychugo,Copa Perú,La Libertad,1959.0,65.0,José Santos Chocano-Santiago de Chuco-La Libertad
Juvenil Victoria,Pacasmayo,Estadio Municipal de Pacasmayo,Copa Perú,La Libertad,1944.0,80.0,Juvenil Victoria-Pacasmayo-La Libertad
Juventud Bellavista,La Esperanza,Estadio Municipal Víctor Raúl,Copa Perú,La Libertad,1974.0,50.0,Juventud Bellavista-La Esperanza-La Libertad
Juventud Grau,Paiján,Estadio Municipal de Paiján,Copa Perú,La Libertad,1963.0,61.0,Juventud Grau-Paiján-La Libertad
Juventud San Agustín,Moche,Estadio Ramiro Ñíque,Copa Perú,La Libertad,1988.0,36.0,Juventud San Agustín-Moche-La Libertad
Libertad,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1939.0,85.0,Libertad-Trujillo-La Libertad
Los Espartanos,Pacasmayo,Estadio Municipal de Pacasmayo,Copa Perú,La Libertad,1924.0,100.0,Los Espartanos-Pacasmayo-La Libertad
Mariano Melgar,Tayabamba,Estadio Municipal de Tayabamba,Copa Perú,La Libertad,1948.0,76.0,Mariano Melgar-Tayabamba-La Libertad
Mariscal Castilla,Julcán,Estadio Municipal de Julcán,Copa Perú,La Libertad,1963.0,61.0,Mariscal Castilla-Julcán-La Libertad
Mariscal Sucre de Chepén,Chepén,Estadio Mariano Colina Quispe,Copa Perú,La Libertad,1972.0,52.0,Mariscal Sucre de Chepén-Chepén-La Libertad
Racing Club,Huamachuco,Estadio Municipal de Huamachuco,Copa Perú,La Libertad,1946.0,78.0,Racing Club-Huamachuco-La Libertad
Real Casa Grande,Casa Grande,Estadio Municipal de Casa Grande,Copa Perú,La Libertad,2012.0,12.0,Real Casa Grande-Casa Grande-La Libertad
Real Sociedad,Chugay,Estadio Municipal de Huamachuco,Copa Perú,La Libertad,2012.0,12.0,Real Sociedad-Chugay-La Libertad
Ricardo Palma,Cartavio,Estadio Municipal de Cartavio,Copa Perú,La Libertad,1979.0,45.0,Ricardo Palma-Cartavio-La Libertad
San José,Santiago de Chuco,Estadio Chaychugo,Copa Perú,La Libertad,1966.0,58.0,San José-Santiago de Chuco-La Libertad
Siete de Junio,Casa Grande,Estadio Municipal de Casa Grande,Copa Perú,La Libertad,1919.0,105.0,Siete de Junio-Casa Grande-La Libertad
Sport Arica,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1922.0,102.0,Sport Arica-Trujillo-La Libertad
Sport Boys de Chepén,Chepén,Estadio Mariano Colina Quispe,Copa Perú,La Libertad,1972.0,52.0,Sport Boys de Chepén-Chepén-La Libertad
Sport Boys de Guadalupe,Guadalupe,Estadio Carlos A. Olivares,Copa Perú,La Libertad,1953.0,71.0,Sport Boys de Guadalupe-Guadalupe-La Libertad
Sport Chavelines,Pacasmayo,Estadio Municipal de Pacasmayo,Copa Perú,La Libertad,1984.0,40.0,Sport Chavelines-Pacasmayo-La Libertad
Sport Rambler,Salaverry,Estadio Municipal de Salaverry,Copa Perú,La Libertad,1916.0,108.0,Sport Rambler-Salaverry-La Libertad
Sport Rambler,Pacasmayo,Estadio Municipal de Pacasmayo,Copa Perú,La Libertad,1942.0,82.0,Sport Rambler-Pacasmayo-La Libertad
Sport Rayo,Pacasmayo,Estadio Municipal de Pacasmayo,Copa Perú,La Libertad,1944.0,80.0,Sport Rayo-Pacasmayo-La Libertad
Sport Salamanca,Magdalena de Cao,Estadio Municipal de Magdalena de Cao,Copa Perú,La Libertad,1928.0,96.0,Sport Salamanca-Magdalena de Cao-La Libertad
Sporting Tabaco,Cartavio,Estadio Municipal de Cartavio,Copa Perú,La Libertad,1946.0,78.0,Sporting Tabaco-Cartavio-La Libertad
Torbellino,Pacasmayo,Estadio Municipal de Pacasmayo,Copa Perú,La Libertad,1977.0,47.0,Torbellino-Pacasmayo-La Libertad
Unión Cartavio,Cartavio,Estadio Unión Cartavio,Copa Perú,La Libertad,1919.0,105.0,Unión Cartavio-Cartavio-La Libertad
Unión Chequén,Chepén,Estadio Mariano Colina Quispe,Copa Perú,La Libertad,1976.0,48.0,Unión Chequén-Chepén-La Libertad
Unión Chiquitoy,Chiquitoy,Estadio Municipal de Cartavio,Copa Perú,La Libertad,1940.0,84.0,Unión Chiquitoy-Chiquitoy-La Libertad
Unión Laredo,Laredo,Estadio Unión Laredo,Copa Perú,La Libertad,1924.0,100.0,Unión Laredo-Laredo-La Libertad
Unión Pacanguilla,Chepén,Estadio Mariano Colina Quispe,Copa Perú,La Libertad,1955.0,69.0,Unión Pacanguilla-Chepén-La Libertad
Unión Pacífico,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1942.0,82.0,Unión Pacífico-Trujillo-La Libertad
Unión Pataz,Tayabamba,Estadio Municipal de Tayabamba,Copa Perú,La Libertad,1896.0,128.0,Unión Pataz-Tayabamba-La Libertad
Unión San Pedro,San Pedro de Lloc,Estadio Julio C. Brito,Copa Perú,La Libertad,1941.0,83.0,Unión San Pedro-San Pedro de Lloc-La Libertad
Unión Virú,Virú,Estadio San Luis,Copa Perú,La Libertad,1943.0,81.0,Unión Virú-Virú-La Libertad
Universidad César Vallejo,Trujillo,Estadio Mansiche,Primera División,La Libertad,1996.0,28.0,Universidad César Vallejo-Trujillo-La Libertad
Universitario UPAO,Trujillo,Estadio Mansiche,Copa Perú,La Libertad,1996.0,28.0,Universitario UPAO-Trujillo-La Libertad
Alfonso Ugarte,Puerto Eten,Estadio Municipal,Copa Perú,Lambayeque,1921.0,103.0,Alfonso Ugarte-Puerto Eten-Lambayeque
Alianza Arica,Nueva Arica,Estadio Héroes de Arica,Copa Perú,Lambayeque,1936.0,88.0,Alianza Arica-Nueva Arica-Lambayeque
Alianza Buenos Aires,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1954.0,70.0,Alianza Buenos Aires-Chiclayo-Lambayeque
Alianza Cayaltí,Cayaltí,Estadio Santa María,Copa Perú,Lambayeque,1963.0,61.0,Alianza Cayaltí-Cayaltí-Lambayeque
Alianza Porvenir,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1942.0,82.0,Alianza Porvenir-Chiclayo-Lambayeque
Alianza Santa Isabel,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1973.0,51.0,Alianza Santa Isabel-Olmos-Lambayeque
Alianza Vista Alegre,Oyotún,Estadio Municipal de Oyotún,Copa Perú,Lambayeque,1958.0,66.0,Alianza Vista Alegre-Oyotún-Lambayeque
América de Tepo,Mochumí,Estadio José Mercedes Ríos,Copa Perú,Lambayeque,1986.0,38.0,América de Tepo-Mochumí-Lambayeque
Atlético José Gálvez,Lambayeque,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1973.0,51.0,Atlético José Gálvez-Lambayeque-Lambayeque
Atlético Juventud La Estancia,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1965.0,59.0,Atlético Juventud La Estancia-Olmos-Lambayeque
Atlético Melgar,Jayanca,Estadio Hermanos Ortiz Vélez,Copa Perú,Lambayeque,1971.0,53.0,Atlético Melgar-Jayanca-Lambayeque
Atlético Pedro Ruiz,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1964.0,60.0,Atlético Pedro Ruiz-Chiclayo-Lambayeque
Boca Junior,Ferreñafe,Estadio Samame Caceres,Copa Perú,Lambayeque,1957.0,67.0,Boca Junior-Ferreñafe-Lambayeque
Boca Juniors,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1927.0,97.0,Boca Juniors-Chiclayo-Lambayeque
Carlos Stein,José Leonardo Ortiz,Estadio César Flores Marigorda,Segunda División,Lambayeque,2012.0,12.0,Carlos Stein-José Leonardo Ortiz-Lambayeque
Cultural Pucalá,Pucalá,Estadio Municipal,Copa Perú,Lambayeque,1954.0,70.0,Cultural Pucalá-Pucalá-Lambayeque
Defensor Samán,Pomalca,Estadio La Bombonera,Copa Perú,Lambayeque,1987.0,37.0,Defensor Samán-Pomalca-Lambayeque
Deportivo Acapulco,Tumán,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1987.0,37.0,Deportivo Acapulco-Tumán-Lambayeque
Deportivo Cachorro,Motupe,Estadio Sebastián Vilela Purihuamán,Copa Perú,Lambayeque,1964.0,60.0,Deportivo Cachorro-Motupe-Lambayeque
Deportivo Cañaña,Lambayeque,Estadio César Flores Marigorda,Copa Perú,Lambayeque,1980.0,44.0,Deportivo Cañaña-Lambayeque-Lambayeque
Deportivo Chancay,Lambayeque,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1948.0,76.0,Deportivo Chancay-Lambayeque-Lambayeque
Deportivo Cruz de Chalpón,Motupe,Estadio Sebastián Vilela Purihuamán,Copa Perú,Lambayeque,1949.0,75.0,Deportivo Cruz de Chalpón-Motupe-Lambayeque
Deportivo Cultural,Salas,Estadio Municipal de Salas,Copa Perú,Lambayeque,1957.0,67.0,Deportivo Cultural-Salas-Lambayeque
