Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Real Madrid de Camaná,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1972.0,52.0,Real Madrid de Camaná-Camaná-Arequipa
Rocket Boys,Huancarqui,Estadio Municipal de Huancarqui,Copa Perú,Arequipa,1962.0,62.0,Rocket Boys-Huancarqui-Arequipa
Saetas de Oro,La Joya,Estadio Municipal de la Joya,Copa Perú,Arequipa,1975.0,49.0,Saetas de Oro-La Joya-Arequipa
San Jacinto FBC,Samuel Pastor,Estadio Raúl Gorriti Drago,Copa Perú,Arequipa,2014.0,10.0,San Jacinto FBC-Samuel Pastor-Arequipa
San José,Socabaya,Cancha de Toros de ACPATPA,Copa Perú,Arequipa,1960.0,64.0,San José-Socabaya-Arequipa
San Vicente,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1931.0,93.0,San Vicente-Corire-Arequipa
Satélite Chico,José Luis Bustamante y Rivero,Estadio Simón Bolívar,Copa Perú,Arequipa,1985.0,39.0,Satélite Chico-José Luis Bustamante y Rivero-Arequipa
Social Corire,Corire,Estadio José A. Ricketts,Copa Perú,Arequipa,1943.0,81.0,Social Corire-Corire-Arequipa
Social Deportivo Caravelí,Caravelí,Estadio Municipal de Caravelí,Copa Perú,Arequipa,1936.0,88.0,Social Deportivo Caravelí-Caravelí-Arequipa
Sport Boys,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1948.0,76.0,Sport Boys-Mollendo-Arequipa
Sport Boys,Punta de Bombón,Estadio Municipal de Punta de Bombón,Copa Perú,Arequipa,1956.0,68.0,Sport Boys-Punta de Bombón-Arequipa
Sport Chucarapi,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1933.0,91.0,Sport Chucarapi-Cocachacra-Arequipa
Sport José Granda,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1968.0,56.0,Sport José Granda-Camaná-Arequipa
